hicdep,regadb
4,Afghanistan
248,Aland
8,Albania
12,Algeria
20,Andorra
24,Angola
28,Antigua and Barbuda
32,Argentina
51,Armenia
533,Aruba
654,Ascension
36,Australia
40,Austria
31,Azerbaijan
44,Bahamas, The
48,Bahrain
50,Bangladesh
52,Barbados
112,Belarus
56,Belgium
84,Belize
204,Benin
64,Bhutan
68,Bolivia
70,Bosnia and Herzegovina
72,Botswana
76,Brazil
96,Brunei
100,Bulgaria
854,Burkina Faso
108,Burundi
116,Cambodia
120,Cameroon
124,Canada
132,Cape Verde
140,Central African Republic
148,Chad
152,Chile
156,China, People's Republic of
344,Hong Kong
446,Macau
170,Colombia
174,Comoros
180,Congo, Democratic Republic of the (Congo - Kinshasa)
178,Congo, Republic of the (Congo - Brazzaville)
188,Costa Rica
384,Cote d'Ivoire (Ivory Coast)
191,Croatia
192,Cuba
196,Cyprus
203,Czech Republic
408,Korea, Democratic People's Republic of (North Korea)
208,Denmark
262,Djibouti
212,Dominica
214,Dominican Republic
218,Ecuador
818,Egypt
222,El Salvador
226,Equatorial Guinea
232,Eritrea
233,Estonia
231,Ethiopia
234,Faroe Islands
242,Fiji
246,Finland
250,France
254,French Guiana
266,Gabon
270,Gambia, The
268,Georgia
276,Germany
288,Ghana
300,Greece
304,Greenland
308,Grenada
312,Guadeloupe
320,Guatemala
324,Guinea
624,Guinea-Bissau
328,Guyana
332,Haiti
340,Honduras
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran
368,Iraq
372,Ireland
376,Israel
380,Italy
388,Jamaica
392,Japan
400,Jordan
398,Kazakhstan
404,Kenya
296,Kiribati
39,Kosovo
414,Kuwait
417,Kyrgyzstan
418,Laos
428,Latvia
422,Lebanon
426,Lesotho
430,Liberia
434,Libya
438,Liechtenstein
440,Lithuania
442,Luxembourg
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
584,Marshall Islands
474,Martinique
478,Mauritania
480,Mauritius
484,Mexico
583,Micronesia
492,Monaco
496,Mongolia
499,Montenegro
504,Morocco
508,Mozambique
104,Myanmar (Burma)
516,Namibia
520,Nauru
524,Nepal
528,Netherlands
29,Netherlands Antilles
554,New Zealand
558,Nicaragua
562,Niger
566,Nigeria
578,Norway
512,Oman
586,Pakistan
585,Palau
591,Panama
598,Papua New Guinea
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
634,Qatar
410,Korea, Republic of (South Korea)
498,Moldova
638,Reunion
642,Romania
643,Russia
646,Rwanda
659,Saint Kitts and Nevis
662,Saint Lucia
670,Saint Vincent and the Grenadines
882,Samoa
674,San Marino
678,Sao Tome and Principe
682,Saudi Arabia
686,Senegal
688,Serbia
690,Seychelles
694,Sierra Leone
702,Singapore
703,Slovakia
705,Slovenia
90,Solomon Islands
706,Somalia
710,South Africa
724,Spain
144,Sri Lanka
729,Sudan
740,Suriname
744,Svalbard
748,Swaziland
752,Sweden
756,Switzerland
760,Syria
762,Tajikistan
764,Thailand
807,Macedonia
626,Timor-Leste (East Timor)
768,Togo
776,Tonga
780,Trinidad and Tobago
654,Tristan da Cunha
788,Tunisia
792,Turkey
795,Turkmenistan
798,Tuvalu
800,Uganda
804,Ukraine
784,United Arab Emirates
826,United Kingdom
834,Tanzania
840,United States
858,Uruguay
860,Uzbekistan
548,Vanuatu
336,Vatican City
862,Venezuela
704,Vietnam
887,Yemen
894,Zambia
716,Zimbabwe
2,Africa
17,Central Africa
15,North Africa
2,Subsaharan Africa
29,Caribbean
5,South America
21,North America
142,Asia
145,Middle East
150,Europe
151,Eastern Europe
61,Polynesia
